tweet_id,text,account,domain,background,label
1608959444339298309,@PJSanchezGj @yoen100palabras Pues la verdad es que no.,@perezreverte,PERSON,ART,ES
1608959444339298309,"Vi una serie hace tiempo, cuyo título no recuerdo bien (¿podría ser ""Velas negras""?",@perezreverte,PERSON,ART,ES
1608959444339298309,"), que no estaba mal, pero tampoco me pareció extraordinaria.",@perezreverte,PERSON,ART,ES
1608856377702875136,"@elmenta41567732 Todo llegará, si vivo lo suficiente para que llegue.",@perezreverte,PERSON,ART,ES
1608856377702875136,Un afectuoso saludo.,@perezreverte,PERSON,ART,ES
1608851271695618048,@tuitin_t Creo que se equivoca.,@perezreverte,PERSON,ART,ES
1608851271695618048,He visto a mujeres en guerras ser tan crueles como los hombres.,@perezreverte,PERSON,ART,ES
1608851271695618048,Lo que pasa es que en esa faceta suelen tener menos oportunidades de ejercer.,@perezreverte,PERSON,ART,ES
1608851271695618048,En materia de violencia no es tan decisivo el sexo; crueldad y violencia también son parte de la condición humana.,@perezreverte,PERSON,ART,ES
1608753080878923776,Cómo me alegro de no tener que cubrir las guerras de ahora.,@perezreverte,PERSON,ART,ES
1608606861997281281,"@yoen100palabras Vista y disfrutada, me parece excelente.",@perezreverte,PERSON,ART,ES
1608606861997281281,De las mejores que visto últimamente.,@perezreverte,PERSON,ART,ES
1608606861997281281,Y cuando se ha leído el libro se disfruta todavía más.,@perezreverte,PERSON,ART,ES
1608606509977718785,@jagalon71 La vi hace tiempo y me gustó mucho.,@perezreverte,PERSON,ART,ES
1608589249322029056,"@slicerin2 @mrtfernandez @AlfaguaraES ""Los renglones torcidos..."" la leí hace cincuenta años.",@perezreverte,PERSON,ART,ES
1608589249322029056,No me dejó un recuerdo especial.,@perezreverte,PERSON,ART,ES
1608589249322029056,Ahora no sabría decirle.,@perezreverte,PERSON,ART,ES
1608589249322029056,Un afectuoso saludo.,@perezreverte,PERSON,ART,ES
1608585365207810050,"Estoy viendo ""The English"" (voy justo por la mitad) y me está gustando mucho.",@perezreverte,PERSON,ART,ES
1608585365207810050,https://t.co/wJkwV1iNKY,@perezreverte,PERSON,ART,ES
1608430557100412929,@Ariadna61492632 Algo hay en Garret.,@perezreverte,PERSON,ART,ES
1608373882364526593,"""El templario, que tenía mal perder, mientras se convertía en churrasco de barbacoa maldijo al rey y a su pastelera madre, profetizando la extinción de la dinastía..."".",@perezreverte,PERSON,ART,ES
