tweet_id,text,account,domain,background,label
1589375766638522368,mirthg46 sainzdlmaza ya no hay previsto nada en españa,@perezreverte,PERSON,ART,ES
1492150578738257921,con mañueco pedimos bajar impuestos ayudas para paliar la subida energética y de combustibles no poner peajes no subir el impuesto de matriculación más flexibilidad laboral,@PabloCasado_,PERSON,POL,ES
1608890157008035845,la fiscalía de valencia considera que los hechos podrían ser constitutivos de delitos contra la intimidad y de odio,@el_pais,ORG,NEW,ES
1602619348744445953,qatar2022 🗓 semifinales ⚽ argentina 🇦🇷 croacia 🇭🇷 🕗 1600 🧑‍⚖️ daniele orsato italia 🏟 lusail 📝,@Argentina,PERSON,SPORT,ARG
1599335796128956416,los jugadores aprendemos de los errores,@SEFutbol,ORG,NEW,ARG
1437248192513552384,comenzamos a ver el fin del populismo en nuestro país,@mauriciomacri,PERSON,POL,ARG
1588880949000867841,erwasap a basura plástico quemado y carne podrida,@perezreverte,PERSON,ART,ES
1597793086851059712,pero como hubo empate definió el puma rodríguez,@eltreceoficial,ORG,NEW,ARG
1020353681819144192,19congresopp,@marianorajoy,PERSON,POL,ES
1608914427666993152,💵¿por qué no hay dólares en la argentina,@Ambitocom,ORG,NEW,ARG
1516035057563095041,que triste tener que gobernar así,@gabrielrufian,PERSON,POL,ES
1560601202106187776,espero que el gobierno no tenga la poca vergüenza de indultar a los responsables sólo porque sean sus amigos del psoe,@InesArrimadas,PERSON,POL,ES
1598795677080829953,que dure lo que tenga que durar,@IbaiLlanos,PERSON,MEDIA,ES
1582891850360299520,cantaconmigoar cuervotinelli,@eltreceoficial,ORG,NEW,ARG
1364319028085485574,los espero,@FitoPaezMusica,PERSON,ART,ARG
1572327815554519046,españa destinará 1515 m€ y movilizará otros 85 m€ en préstamos durante los próximos tres años en apoyo a organismos internacionales especializados y a nuestra aecides,@sanchezcastejon,PERSON,POL,ES
1506450580771794944,vengo del monumento a la desidia en berazategui 300 viviendas a punto de finalizar que el kirchnerismo dejó tiradas como si fueran basura,@diegosantilli,PERSON,POL,ARG
1364319028085485574,un hombre con un piano en el teatrocoliseo,@FitoPaezMusica,PERSON,ART,ARG
1608835078846648320,abel galina formó parte durante 14 años de las 37000 personas según datos de la fundación hogar sí que no tienen acceso a una casa en españa he recibido insultos amenazas,@el_pais,ORG,NEW,ES
1470762988516880389,defendemos los derechos cívicos de los catalanes sobre todo niños declaración parlamentaria de condena al apartheid lingüístico nacionalista proposición de ley para crear el cuerpo de alta inspección educativa contra el adoctrinamiento denuncia a las instituciones europeas,@PabloCasado_,PERSON,POL,ES
1594827739063885838,locotorresreal saludos recibidos,@perezreverte,PERSON,ART,ES
1536703550297890818,entre el busto del rey que cuesta 110000€ y el rey que cuesta 7700000€ me quedo con el busto que al final hacen lo mismo,@gabrielrufian,PERSON,POL,ES
1607015808294584320,✍️ floresflix,@LaVanguardia,ORG,NEW,ES
1608488859150565376,una maratón de 19 torneos para defender el número uno así será el calendario de 2023 de carlos alcaraz,@20m,ORG,NEW,ES
1527540006344085505,se trata de varones de origen norteafricano magrebí en su mayoría ex tutelados o aún tutelados en centros de menores o pisos de acogida,@Santi_ABASCAL,PERSON,POL,ES
1563254416609648640,ese es el camino seguir impulsando avances que nos conviertan en referentes en igualdad de género,@sanchezcastejon,PERSON,POL,ES
1593211175218585601,de triturar las libertades,@Santi_ABASCAL,PERSON,POL,ES
1608103411152568327,así han rescatado los bomberos a una senderista atrapada en una tirolina a gran altura en málaga,@el_pais,ORG,NEW,ES
1606571752552685569,en nombre de toda españa os deseo unas felices fiestas y salud en el cumplimiento de vuestra misión,@sanchezcastejon,PERSON,POL,ES
