Tweet ID,Text,Location
1654499204243374082,"Hola #Crunchyroll con motivo del cumple de #Gon de #HunterXHunter y #luffy #ONEPIECE el 5 de Mayo, el 9 de Mayo el #gokuday de #dragonball  ¿podrian un día hacer un especial y Stream de esos personajes que nos gustan😊🧡 @sekkyoku @HazuStark @ sería muy chido y guay saludos👍😊👌 https://t.co/z0GZDvzYPd",Argentina
1652705147850555392,"Me enseñó que la confianza es lo más heavy que hay, ¿moviste peri y fue guay? Mejor no cantes como mary j blige. Increíble @DanoZiontifik te amo hdp",Argentina
1650141627627831298,Guay tiene el efecto Navarro... Lo de jugar a la mañana no le sienta.... Hasta ahora 1 bien y 5 mal,Argentina
1649940473023283202,@ginlagatita Obvioooooo!!  Las más guay bella y con ojazos  del unvierso🥰😍🥰😍😍 y ahhhjjj abogata🤗🤗🤗🤗 https://t.co/fGSBs4UtgJ,Argentina
1651406771834048515,"Pichetto lleva la misma receta que De la Torre con eso del trumpismo cutre, pero Miguel en PBA lo apoya a Santilli. 😵‍💫",Argentina
1656321792108052482,"@maartinveliz @RataBets Ala chaval, tu si que sabes",Argentina
1654832387564400645,"Gerardo Gandini. 
Y a pesar de la adolescencia dorada del chaval, ya tiene edad suficiente para escucharlo y disfrutarlo.
Suelten. https://t.co/O5Q6qFjbyw",Argentina
1654199817449492494,@francisco_rp22 El chaval cafetero era hora que se ponga a punto físicamente. Pero san lucas no puede salir,Argentina
1652553894549913600,"@elpardua Fui a la tornopleteria, y había cerrado!
Por suerte ahí nomás me tropecé con un carnisolín de taburete que alguien había botado en la acera. ¡Enhorabuena chaval! Me dije, y lo he adaptado con un poco de fuerza centrípeta. Casi es un tornoplete.",Argentina
1652240254412238849,Claro que si Chaval ⚪️🔴⚪️ https://t.co/UbR3XJIg2K,Argentina
1650140438274142208,Muy mamá vení a jugar un partido en el Norte 🇦🇷 y te morís chaval jajaja 😂😂😂 https://t.co/oFrvxrwlwu,Argentina
1646973284133527559,"🍌HOY PAJA GRUPAL CON CAMARA ABIERTA PARA EL QUE QUIERA🍌
-
21:00hs🇦🇷
18:00hs🇲🇽
2:00hs🇪🇸
-
Link: https://t.co/xuj2geKOMh
-
RT asi crezca la comunidad mas pajera y ramdon de internet 😛
-
#twink #videollamada #skype #vivo #gayargentina #gaymexico #gayespaña #pibe #chavo #chaval https://t.co/0CwTMkCGUf",Argentina
1654949010233278465,"@florcit0 Son unos salchichas manipuladores sin cojones . A ver hablando en serio, los buenos empleados que quieran hacer híbrido o remoto 100% se vana ir a otra empresa que se los permita. Se van a quedar con la escoria.",Argentina
1654560981505253377,Disen Ser Buenos Y Resultan Gusanos . Ami Sin Cojones Que Tu Seas Fulano👹,Argentina
1654352414802321408,@linasproused @Carol52675519 @EduAguirre7 Tiene más cojones que él hasta salió a felicitar a la FIFA por su Mundial,Argentina
1654293692969021440,Que cojones todavía yo te quiero...,Argentina
1653529000826875905,Pa qué cojones sirve arrepentirse?,Argentina
1653186417751740416,"Conseguirá apoyo del electorado.
Si ganase, podría hacer una buena gestión ?
No es cuestión solamente de imagen física o carisma; sino de cojones !! https://t.co/UyOyHbULMY",Argentina
1652155696715005952,Ustedes tienen cojones a cuenta de otro 😆😆,Argentina
1651821003100631041,@delfinawagner_ @solanogod Feo de cojones. En BCN estaba copito de nieve en mi época,Argentina
1651404948075061249,Nadie tiene los cojones para aplicar el plan motosierra. Todos se quejan del gasto público pero nadie lo baja,Argentina
1651174306926264323,"Vaya cojones, hay que tenerlos bien puestos o estar loco de remate! https://t.co/KivTtXu5yN",Argentina
1650996091720966150,"@Fum4tr0n Pero esto no es novedad, esto es lo normal o a caso pensamos que todos los tienen en blanco y con jornada completa ? 
Encima hay que darle las gracias al comemierda ese
Se trabaja con 50 grados o más en el invernadero en verano
Que lo haga el con sus cojones. 
Negrero",Argentina
1650658115245752320,"@rinconet Estos dos delincuentes no cambiaron la historia, la historia la cambio quien fue el padre de la democracia un 10 de diciembre de 1983 que tuvo los cojones que uds no tuvieron de enjuiciar a un ""gobierno militar"" no seas cínica!!",Argentina
1650217638298017793,Twittea para verle los cojones a Hiroshi,Argentina
1649986117809192960,"Me levanto en defensa de Cristian que tiene la personalidad para hacer lo que le sale de los cojones 🙌🏾🙌🏾🙌🏾🙌🏾 ya quisiera yo ser así y clavarme hilo este verano, GOD SAVE CRISTIAN! En este mundo tan inclusivo hoy critican a un cuerpo libre… somos incongruentes como sociedad!",Argentina
1648770891013038080,"@Patoma89 @datazopincha Tenes razón, pero asi como hay gallinas cacareando por la final en MADRID, nosotros los pinchas guardamos con especial y dulce recuerdo como los destrozamos en el 2006 en cancha de velez, en un campeonato digno de un ganador con cojones, y no amargos pechos frios como boquitaAbur",Argentina
1648508167280816130,COJONES,Argentina
1645472482072068120,"Con la posibilidad de meter a Rámirez en el 11 inicial, con qué equipo te le vas a plantar a #River en el Monumental? 

Yo voy así con dos cojones: Durso; BBS, Morales, Felipe, Colazo; Steimbach, Miramón, Bolívar, Muro; Soldano y Tarra. 

#GELP",Argentina
1645217302491672576,"Hay mil teorias conspirativas contra Larreta voten y dejen de joder, si queres gob CABA,  tenes q tener cojones, no entrar escondido en una sabana.",Argentina
1655779454927380481,Estoy que flipo https://t.co/iLnZj3iRbB,Argentina
1655217565176586240,"Y no imagines a mi lado ese futuro perfecto
Porque todo lo que toco yo lo acabo rompiendo
Y es cierto que yo lo flipo con esto
Pero mejor vernos menos como el sol en invierno",Argentina
1652463952758972417,@Apis2019 Terminando la segunda temporada de El Reino . Flipo,Argentina
1656333492786020352,"Tremendo el menú que arme para hoy. Pollo al horno con verduras, y un arroz con queso de la hostia 🤤",Argentina
1653905406630961152,"Hoy perdí TODA LA TARDE RECLAMANDO❗️LPM❗️
-1ro a LITORAL GAS xq me cambiaron de N3 a N1 en subsidio
-Me contestaron cquier fruta
-Entro a MiArgy no me reconoce DNI, ni mail, ni hostia
-OTRO RECLAMO X MALA SEGMENTACIÓN EN LITORAL GAS Y EPE😤
-Conmigo NO chiquEs, se las seguiré❗️ https://t.co/ZuBfeC1R1j",Argentina
1653134937959047173,"La visita de lujo al crack de @RuizGerry ... Un día de la hostía ..  a todo culo 
con Vicente, @jdegourville @LeandroTorrenti y quién escribe... https://t.co/mpL0oq87wa",Argentina
1652301390432141312,"@dizilah La belleza de esta serie conmueve!! Es distinta a todas y perfectamente escrita. La actuación del elenco es impecable,y párrafo aparte...
 #BurakTozkoparan 
Un actor de la hostia!!!
#ATESKUSLARI
#Gulbar
#Ilaydalisan
#BurakTozkoparan
💞💞💞💞💞💞💞
💞🇦🇷💞🇦🇷💞🇦🇷💞",Argentina
1652183054507556865,"Volviendo del #MastersOfRock reflexiono... me duelen los pies, la espalda, la cintura en -30 y @PaulStanleyLive se colgó de un arnés con sus 71 años, además bancó unas plataformas tremendas y se mandó un show de la re hostia....",Argentina
1651789084870733824,Sisi una capitán de la hostia. En la final hizo que un jugador de riber no lo expulsen. Pedazo de capitán. Te dejaba a gamba siempre https://t.co/mtRcPBTEaH,Argentina
1650034481519001605,"Qué actriz de la re hostia es mi señora, Julieta Díaz.",Argentina
1649437329973551104,@guadavazquez @diegobranca No nos olvidamos de la fiestita de Olivos Guadalupe. Vos sos una periodista de la hostia..  El otro es un mercenario https://t.co/6NxirPe5KX,Argentina
1648135099047727105,"Parte de ser adulto, al menos para mí, es reconocer que al menos un poco de aquello que nos molesta es un reflejo de nosotros mismos, y que si bien es más fácil echar culpas que hacerse cargo, lo segundo es esencial para estar bien con uno mismo. 

Dicho esto, es necesario",Argentina
1647924597348605952,"@tiempoarg @sipreba @delegadosclarin Pero no los indemnizaron ??? Una empresa tiene el derecho de echar empleados . Es un bajón salir a buscar laburo , pero no se puede obligar a una empresa a mantener su planta de empleados , al menos el sector privado se.maneja así",Argentina
1647015318231957507,"@PeladodeCronica @GerardoMorales @UCRNacional Si ,no hay q' dinamitar nada .Tenemos q' achicar gastos de la política, echar a los q' no trabajan en el Estado .Modificar las leyes laborales, menos delegados por cantidad de trabajadores. Menos Ministerios. Orden, respeto por la Ley.",Argentina
1655756547073400832,"Y estará en vosotros.18:No os dejaré huérfanos, vendré a vosotros.19: Todavía un poco,y el mundo no me verá más,pero vosotros me veréis, porque yo vivo, vosotros también viviréis. 20:En aquel día vosotros conoceréis que yo estoy en mi Padre,y vosotros en mi,y yo en vosotros.",Argentina
1655404185133694976,"@AcostashowJuan ¡Sacate la gorra, Juan!. Vosotros queréis meter preso a todo el mundo. Cuando no es Herrera es Cristina... ¡ah, pero Macri!... claro, ahora me cierra. Fue el Prescindente de Boca",Argentina
1654931667042160640,Que la paz esté con Vosotros... 😬☮️ https://t.co/2RhmhoHykl https://t.co/DvcisW6KE6,Argentina
1653214743849578500,"Si permanecéis en mí, y mis palabras permanecen en vosotros, pedid todo lo que queréis, y os será hecho.
Juan 15:7",Argentina
1652466757678800898,"Jesús dijo:
""Sed, pues, vosotros perfectos, como vuestro Padre que está en los cielos es perfecto.""
San Mateo 5:48",Argentina
1652365448531329026,"Hoy quiero compartir con vosotros unas palabras que mi padre de crianza (mi vasquito querido)me dijo cuando era estudiante de leyes: ""se humilde por sobre todas las cosas"". Así lo hice aunque me jugó en contra,pero con el tiempo comprobé cuánta razón tenía... https://t.co/ZOLPD4eSdZ",Argentina
1650141309221367808,@TinyPanthera Me gusta compartir la comida con Vosotros humanos..🤩🤣🤣,Argentina
1648649887456587780,"@pa_buga_mi_kuga @larazon_es @visitargentina @FlyWithLEVEL @turismobaok Así es, #Argentina, cautiva irremediablemente, y uno de sus  mayores valores sois vosotros, sus gentes! llevo viviendo en #BuenosAires cerca de 3 meses, y gracias al visado de #nómadadital creado por @MinInteriorAR estaré mucho tiempo más! 
@florcarignanook @AlfredLopezRita",Argentina
1648425121865175040,"Buenas Tardes, mis Hermanos en Cristo, que la Gracia de Dios los Bendiga a todos Vosotros 😇
@penelope_waldo @MoreSotelo @Aleli26281405 https://t.co/5FC8Vle51L",Argentina
1648124339441618944,"Si los verdaderos cambios se dan a partir de reconocer, es tiempo de Re-conocer que el “Concepto Sin costo o gratis”, NO EXISTE.
Alguien lo está pagando (yo, tú, Él, Nosotros, Vosotros, Ellos)
Hablando con claridad nos entendemos 😉",Argentina
1648107313994117121,"Va CV de @GugaLusto 
En un acto de Lealtad a la Patria y al Movimiento (intestinal), brega x un país más justo como quería ese gobierno de la nación de Ali Baba.
Venid y Chupad todos de ellos y que la Democracia sea con vosotros !!!!! https://t.co/YWlQZIbxzb",Argentina
1646627449092943873,"no
no me conformo con tan poco mejor vosotros si
pero yo nunca estuve en ese monto
tonto tan solo escucha lo que canto y te cuento
tan solo deja que te corrija el tiempo 
si as echo mal al menos
sabes
La proxima ves no me defraudes 🤣",Argentina
1646197217768751109,@che_nati @ChampionsLeague 15 de Vosotros,Argentina
1645588310482468864,@bdebendecida Vosotros?,Argentina
1645257360775020556,Vosotros no tenéis ni putisima idea,Argentina
1655982709401845778,"""Recuerdos, sin recordar""🍂(título del texto)
Encontré en mi ordenador un cuento corto, que escribí para un exámen de lengua y  literatura. (Hace unos 5 años)
Eso me da motivación a seguir aprendiendo🙂
No sé imaginan  la emoción que sentí al leerlo. Dije: lo escribí yooo!! Jaja",Argentina
1655620080967860226,"En el día de hoy @LuciaCorpacci dejó de ser el principio ordenador del justicialismo catamarqueño. 

No hay remate.",Argentina
1653170645998489602,"Hoy ratificamos nuestro compromiso por la generación de más oportunidades para nuestro pueblo, y celebramos el trabajo como principal ordenador social, para acercarnos así a una sociedad más justa e igualitaria. https://t.co/kkNLY6reiP",Argentina
1653048309919932418,"🫂 Feliz Día a quienes día a día hacen grande nuestra industria a través de su esfuerzo y trabajo, dignificando su vida a través del único ordenador social por excelencia EL TRABAJO‼️

🤗🎊🎉 FELIZ DIA A TOD🌞S LOS TRABAJADORES Y TRABAJADORAS DEL PAIS‼️ https://t.co/f3qbEnGsZz",Argentina
1653036430384414721,"Defendemos un modelo de país donde el trabajo digno y con derechos sea el gran ordenador de la vida. Una Argentina donde los que trabajan sientan el orgullo de ser el motor de la Patria.

Feliz #DíadelTrabajador y la Trabajadora ❤️✌🏽 https://t.co/J8Zk3bF7Df",Argentina
1653016591351574528,"FELIZ DÍA DEL TRABAJADOR Y LA TRABAJADORA 👨🏻‍🍳🧑🏽‍💻👷🏾🧑🏼‍🚒👨🏽‍⚖️🧑🏽‍✈️

El trabajo dignifica a todo ser humano, es un derecho y promueve bienestar en todas las sociedades ya que es el factor ordenador por excelencia. https://t.co/OAnTJdtJI7",Argentina
1652999526368661504,"Muy feliz día a las y los Trabajadores, siempre para adelante, el trabajo es el ordenador social más importante y debe servir para la movilidad social, sino no es trabajo. https://t.co/2rP7R6JVlz",Argentina
1652875659918692358,"(..) la generación de empleo. Hoy, las empresas radicadas en el parque emplean a más de 1400 personas de nuestro pueblo y de localidades vecinas.
El trabajo, como ordenador social, nos garantiza la dignidad de las personas y la felicidad del pueblo.

¡Feliz día, trabajadores!👏🏻 https://t.co/ptiyP4Qwfa",Argentina
1652713905519509506,@santiagojfredes No Santiago! se pueden abrir escuelas hospitales y universidades en los mismos barrios que se construyan como hay en Nordelta! No tendrán que viajar 30 km El proyecto es bueno y resuelve el problema habitacional y es ordenador @JuanGrabois,Argentina
1652705986740641794,"Nuestro objetivo en cada encuentro, es transmitir un mensaje muy claro: apostamos al trabajo como elemento ordenador de una sociedad más justa y equitativa. La creación de emprendimientos que generen trabajo genuino es una de nuestras prioridades. https://t.co/myttNYaulf",Argentina
1648997335886618624,"@Sholomit1 @mgorganchian Y así los registros contables e informes necesarios para administrar el imperio comercial se entendían claramente. 
La escuela de hoy día fue creada para proveer elementos funcionales a un gran ordenador capitalista.
La escritura a mano sigue siendo una competencia favorable.",Argentina
1648020673497903111,"1° Jornada de Cannabis Medicinal e Industrial de La Rioja al mundo.

“Es fundamental el rol del estado como ordenador, queremos hacer que esto represente una alternativa para nuestras economías regionales"". https://t.co/fQ8EBg9eXS",Argentina
1645874969212260353,@Eric_Lostie Yo no paso de la primera ciudad pq el juego no me guarda el progreso y no puedo dejarlo abierto todo el día en el ordenador 😭,Argentina
1654832387564400645,"Gerardo Gandini. 
Y a pesar de la adolescencia dorada del chaval, ya tiene edad suficiente para escucharlo y disfrutarlo.
Suelten. https://t.co/O5Q6qFjbyw",Buenos Aires
1652553894549913600,"@elpardua Fui a la tornopleteria, y había cerrado!
Por suerte ahí nomás me tropecé con un carnisolín de taburete que alguien había botado en la acera. ¡Enhorabuena chaval! Me dije, y lo he adaptado con un poco de fuerza centrípeta. Casi es un tornoplete.",Buenos Aires
1654949010233278465,"@florcit0 Son unos salchichas manipuladores sin cojones . A ver hablando en serio, los buenos empleados que quieran hacer híbrido o remoto 100% se vana ir a otra empresa que se los permita. Se van a quedar con la escoria.",Buenos Aires
1651404948075061249,Nadie tiene los cojones para aplicar el plan motosierra. Todos se quejan del gasto público pero nadie lo baja,Buenos Aires
1650658115245752320,"@rinconet Estos dos delincuentes no cambiaron la historia, la historia la cambio quien fue el padre de la democracia un 10 de diciembre de 1983 que tuvo los cojones que uds no tuvieron de enjuiciar a un ""gobierno militar"" no seas cínica!!",Buenos Aires
1650217638298017793,Twittea para verle los cojones a Hiroshi,Buenos Aires
1648770891013038080,"@Patoma89 @datazopincha Tenes razón, pero asi como hay gallinas cacareando por la final en MADRID, nosotros los pinchas guardamos con especial y dulce recuerdo como los destrozamos en el 2006 en cancha de velez, en un campeonato digno de un ganador con cojones, y no amargos pechos frios como boquitaAbur",Buenos Aires
1648508167280816130,COJONES,Buenos Aires
1655217565176586240,"Y no imagines a mi lado ese futuro perfecto
Porque todo lo que toco yo lo acabo rompiendo
Y es cierto que yo lo flipo con esto
Pero mejor vernos menos como el sol en invierno",Buenos Aires
